cpa,interview_score,CV_score,num_projects,years_experience,KPI
2.46,6.18,1.95,9,17.83,0.501
2.53,3.77,3.06,5,0.0,0.1728
3.45,4.82,5.35,9,17.95,0.5044
2.0,3.29,1.71,6,9.78,0.2673
2.55,3.72,3.75,6,10.79,0.3639
2.54,2.85,1.27,2,4.23,0.2023
3.09,6.19,3.31,1,3.8,0.2047
3.43,9.23,4.93,4,9.19,0.5839
2.64,2.76,0.83,1,1.04,0.1937
2.51,6.23,2.27,4,11.61,0.3904
2.67,3.76,3.47,7,17.98,0.4888
2.91,3.99,3.14,9,15.67,0.4146
2.93,4.67,4.67,3,10.34,0.4075
2.21,3.14,0.89,1,2.7,0.1
2.29,5.01,2.26,3,3.73,0.2012
3.08,4.46,2.88,5,13.41,0.4997
3.26,6.29,6.29,7,13.59,0.5741
2.98,4.81,4.86,6,9.12,0.4899
2.97,4.31,2.05,3,10.34,0.3949
2.14,2.14,1.96,6,10.14,0.3068
3.36,5.2,4.26,7,19.26,0.5413
2.28,1.42,1.42,0,0.0,0.0
2.77,4.55,2.5,3,5.28,0.3858
3.29,5.19,3.84,1,5.68,0.336
2.41,2.62,1.34,9,19.48,0.3312
2.92,4.61,3.47,5,8.79,0.4197
2.44,4.7,2.06,8,15.38,0.4579
2.65,5.19,1.7,3,6.01,0.324
2.58,3.67,1.36,5,10.79,0.2548
3.1,7.62,4.43,2,7.13,0.4377
3.52,7.45,4.51,5,17.84,0.627
2.26,2.94,2.13,2,4.11,0.2145
3.69,7.36,5.02,3,10.41,0.5729
2.87,1.7,2.37,6,11.47,0.3054
2.46,2.28,2.28,0,0.0,0.0
2.97,5.01,4.49,5,14.96,0.4849
3.2,7.63,4.18,1,4.51,0.3843
2.86,4.67,2.95,7,19.35,0.5425
3.36,5.59,3.19,6,16.55,0.5249
3.58,5.32,4.67,7,19.2,0.5721
3.09,4.54,3.63,9,19.64,0.547
2.23,5.03,2.78,3,1.97,0.1644
2.1,2.5,1.67,4,8.41,0.2875
2.55,5.31,4.56,8,14.65,0.5067
3.36,6.34,3.93,3,0.35,0.4212
3.4,2.01,4.53,2,1.78,0.4062
2.83,4.65,3.2,1,3.61,0.1793
3.3,6.91,4.29,6,12.42,0.6385
3.43,6.76,5.63,8,12.94,0.6204
3.53,7.07,4.06,3,5.32,0.499
2.26,1.28,1.28,0,0.0,0.0
2.89,5.52,3.45,3,9.28,0.3391
3.04,6.87,3.61,1,1.96,0.3442
2.73,4.03,3.01,2,2.95,0.304
3.31,7.84,3.23,8,17.31,0.6499
3.04,5.58,3.23,3,7.77,0.3877
3.27,7.19,3.93,10,20.06,0.5799
3.0,5.7,2.59,6,12.73,0.4787
2.91,3.79,2.85,2,4.44,0.2859
3.27,6.08,5.07,10,16.64,0.6773
3.26,6.96,3.7,11,16.57,0.5447
2.75,4.38,2.21,3,10.89,0.2592
2.66,3.29,3.18,6,19.7,0.3624
3.56,8.44,4.24,3,10.06,0.4349
3.57,5.47,3.75,7,19.35,0.565
3.18,6.49,5.55,9,19.83,0.6932
2.66,1.92,0.0,9,14.72,0.4191
3.24,8.43,5.24,10,18.14,0.6344
3.39,4.71,4.34,5,0.67,0.4046
2.36,3.75,1.91,2,1.77,0.1826
2.19,3.95,2.79,1,4.61,0.2028
3.79,9.41,6.43,5,11.5,0.6645
3.16,7.27,3.79,4,13.45,0.513
2.5,4.8,3.25,7,11.35,0.3366
3.71,5.18,4.48,2,8.23,0.5829
2.66,4.47,3.28,11,21.21,0.5301
2.71,3.57,3.57,5,8.13,0.3483
2.99,6.13,4.56,4,10.0,0.558
2.43,2.4,4.86,13,21.23,0.4884
3.25,6.25,6.25,5,13.51,0.5534
2.41,4.29,4.31,12,20.55,0.4506
2.57,4.11,2.99,5,15.67,0.3992
3.27,6.82,5.51,5,6.8,0.6327
2.78,4.92,2.16,3,5.83,0.2711
3.37,7.33,4.12,6,15.52,0.6935
3.61,6.54,5.22,6,15.41,0.6321
2.81,5.19,3.02,5,13.82,0.524
2.0,2.03,0.97,3,5.12,0.244
2.85,5.13,2.69,1,2.7,0.337
3.27,8.52,3.6,6,19.46,0.6278
3.1,4.82,3.04,9,15.59,0.3858
3.12,6.09,3.88,5,12.85,0.4982
2.51,5.96,1.86,2,3.14,0.2223
3.6,6.31,5.18,5,16.04,0.6457
3.61,6.83,4.77,6,12.29,0.6989
3.6,7.64,4.44,2,7.75,0.5023
2.48,4.69,3.78,2,6.44,0.2912
3.05,5.73,3.37,8,19.65,0.5762
2.31,2.6,2.31,5,15.39,0.2939
3.31,4.98,4.45,1,1.08,0.3714
2.88,5.62,1.81,3,7.37,0.2901
3.2,6.01,6.01,7,13.02,0.5527
3.28,5.24,3.67,4,10.44,0.4015
3.3,6.99,3.51,3,5.28,0.5043
3.49,5.03,4.32,7,17.88,0.5701
3.16,6.47,4.53,3,9.2,0.4911
3.23,6.79,3.53,9,18.49,0.4682
3.12,5.65,5.48,6,19.03,0.5149
3.13,7.26,3.91,4,12.32,0.3995
2.36,1.78,1.78,0,0.0,0.0
2.42,1.98,1.42,5,11.19,0.2581
2.69,5.76,2.26,7,19.25,0.6084
2.14,3.65,1.29,10,16.24,0.244
3.08,4.83,5.71,4,11.0,0.3825
2.8,3.52,2.22,3,8.34,0.3057
3.02,4.58,4.32,11,18.51,0.5875
2.87,4.37,4.37,5,9.74,0.4095
2.98,6.68,3.51,2,1.95,0.295
2.91,3.24,4.32,8,16.75,0.515
3.78,9.19,3.83,7,13.9,0.6177
3.26,5.46,2.22,4,6.77,0.3357
3.37,6.26,2.23,9,16.79,0.5226
3.55,9.24,5.82,3,9.51,0.5205
2.73,3.63,3.63,4,8.25,0.3416
3.78,8.7,4.78,2,4.37,0.4585
3.15,5.93,3.21,9,18.05,0.5047
2.49,0.98,2.85,11,19.76,0.3748
3.01,5.05,5.05,5,11.1,0.4615
2.79,5.94,4.29,9,19.24,0.4969
2.8,5.58,3.01,4,0.49,0.3691
3.59,6.98,3.64,1,3.41,0.4059
2.43,3.67,1.36,5,6.59,0.239
2.85,4.71,3.0,3,9.89,0.3438
2.31,1.69,0.67,1,3.59,0.2101
3.1,3.15,0.47,5,14.46,0.3542
2.15,3.77,0.0,2,3.04,0.1546
3.58,5.54,4.49,1,1.72,0.343
3.43,4.45,2.73,3,2.14,0.3357
3.49,6.13,4.86,6,20.83,0.5618
3.86,9.3,9.3,6,19.6,0.7955
3.04,5.47,2.78,7,12.35,0.4643
3.23,5.52,3.07,9,17.73,0.5908
3.35,6.17,5.09,4,4.43,0.3653
2.45,4.83,2.27,11,19.02,0.4395
3.58,7.17,6.32,1,3.13,0.4916
2.54,2.45,1.26,8,16.0,0.4532
2.24,1.76,2.42,6,10.24,0.3146
3.06,8.9,5.56,5,17.4,0.5343
3.42,7.35,4.24,3,4.07,0.4005
3.12,6.32,3.71,6,19.05,0.5953
3.58,5.58,4.27,1,3.47,0.4307
3.2,4.7,3.84,7,9.49,0.478
2.42,5.91,2.47,2,8.91,0.2986
3.98,9.9,9.9,7,20.8,0.8496
2.97,5.18,3.95,3,6.01,0.4223
2.0,2.0,3.35,2,2.81,0.1241
3.27,6.19,4.22,11,19.26,0.5609
2.88,4.45,3.55,9,17.65,0.4544
2.43,3.46,2.18,2,5.4,0.2506
3.14,5.79,2.76,2,0.58,0.3263
3.23,7.71,5.33,9,16.59,0.6514
2.12,0.6,0.6,0,0.0,0.0
2.76,3.55,2.71,6,16.06,0.506
3.16,5.49,2.73,3,9.1,0.3266
3.23,4.23,3.47,4,6.12,0.4896
3.67,8.05,5.06,3,6.89,0.5318
2.21,4.4,2.09,8,21.67,0.3896
2.62,4.06,3.46,2,2.01,0.2188
3.22,4.86,4.72,1,2.04,0.4187
3.33,7.34,4.18,8,12.73,0.5352
2.15,1.59,1.98,3,4.79,0.109
2.93,4.02,1.74,5,0.25,0.2975
3.24,4.71,6.14,9,13.99,0.718
3.01,3.85,5.04,10,16.33,0.6117
2.94,4.76,3.67,2,2.91,0.4177
2.58,2.91,2.91,0,0.0,0.0
3.31,6.53,6.53,5,14.07,0.5748
2.71,4.43,3.51,6,14.27,0.2937
2.32,2.69,2.61,8,14.29,0.2976
3.46,7.29,7.29,6,15.59,0.6424
2.0,2.18,2.1,5,9.19,0.225
2.91,5.69,5.0,12,21.28,0.442
2.73,3.59,3.16,5,15.04,0.4037
2.7,3.49,3.49,0,0.0,0.0292
3.18,8.28,4.36,4,7.27,0.4611
3.64,8.3,5.02,10,17.89,0.6067
2.58,3.09,3.73,5,17.67,0.5187
3.12,6.3,4.26,7,21.04,0.5643
2.99,5.25,2.23,1,1.62,0.2235
2.59,5.26,2.45,10,16.92,0.4618
3.06,5.23,2.61,7,13.18,0.4302
2.41,4.25,1.09,4,10.39,0.3544
2.18,3.03,1.82,1,1.17,0.0653
3.55,8.04,4.62,5,6.89,0.5807
2.47,3.81,2.68,9,18.19,0.3894
2.29,3.71,2.38,1,2.05,0.177
3.91,6.87,5.43,9,12.99,0.4887
3.59,5.77,4.58,5,16.04,0.526
2.62,3.11,2.39,12,19.11,0.4151
2.24,3.18,2.48,7,15.75,0.3543
3.49,5.28,3.44,8,14.73,0.4992
2.87,3.07,1.88,6,9.53,0.2883
3.48,7.56,4.47,1,5.52,0.4314
3.17,5.84,2.6,8,16.85,0.5516
2.55,2.73,2.73,0,0.0,0.0
2.53,3.03,2.63,5,9.96,0.2927
3.01,5.29,3.03,0,0.4,0.1248
3.79,8.85,6.05,1,5.73,0.411
2.79,5.15,2.48,4,7.87,0.3656
2.29,4.63,2.58,10,20.86,0.3932
2.49,3.55,2.3,2,7.45,0.2959
3.72,8.58,8.58,5,18.15,0.7309
2.88,3.13,3.81,2,3.22,0.2912
2.69,3.93,2.66,4,8.3,0.3577
2.51,4.79,2.91,9,20.98,0.4689
2.85,5.24,2.75,12,21.89,0.6392
2.65,5.55,2.67,1,2.23,0.2382
3.06,3.53,2.07,5,10.69,0.3014
2.87,4.35,2.98,6,10.37,0.4309
2.85,4.23,4.23,4,9.46,0.3876
3.58,7.31,3.41,3,6.58,0.5381
3.71,7.28,6.34,3,10.71,0.5825
3.03,4.17,1.01,7,18.49,0.5186
3.46,9.48,4.19,4,10.13,0.4951
3.53,7.59,3.07,6,8.33,0.4546
2.47,6.23,2.76,4,8.3,0.409
2.49,2.46,2.46,0,0.0,0.0
2.77,5.74,2.79,6,12.91,0.4552
3.32,5.37,5.14,3,5.67,0.3583
3.07,6.94,3.84,5,11.13,0.4834
2.5,3.61,5.0,9,16.71,0.4027
2.67,4.03,2.16,1,2.45,0.2332
2.98,5.66,5.07,10,20.25,0.5294
3.16,5.81,5.01,10,21.64,0.6344
2.75,5.11,3.45,4,6.96,0.3908
2.88,3.0,2.88,5,8.0,0.4302
2.51,3.34,0.21,5,7.32,0.2969
2.52,4.0,2.5,7,11.57,0.469
3.49,7.45,7.45,11,15.91,0.6879
2.32,2.3,2.98,3,2.72,0.251
2.5,5.19,2.57,3,7.02,0.2558
3.08,4.28,2.4,3,7.74,0.3557
3.0,4.24,3.79,6,11.02,0.435
3.19,7.35,4.51,6,11.16,0.4743
2.39,3.96,1.82,4,11.42,0.3327
2.29,1.46,1.46,0,0.0,0.0
2.54,4.94,1.69,3,5.21,0.3352
2.46,1.98,0.54,9,17.99,0.2917
2.83,4.13,4.13,2,9.26,0.3484
3.06,5.84,3.57,5,0.17,0.3625
3.47,7.61,3.4,4,7.79,0.5709
3.11,5.23,2.9,7,9.94,0.5001
2.36,3.69,3.33,4,11.51,0.3008
3.14,6.01,4.45,9,16.31,0.4965
2.97,7.01,4.22,8,11.57,0.4325
3.23,6.43,4.78,6,7.83,0.6158
2.99,5.41,3.19,10,17.56,0.5138
2.44,3.19,2.04,12,20.72,0.5436
2.59,4.11,3.34,7,15.7,0.4588
2.92,2.96,2.3,10,21.19,0.554
3.12,8.6,4.01,5,12.56,0.5761
2.44,4.95,3.37,12,21.86,0.4921
2.76,6.09,3.13,4,13.43,0.4516
2.63,4.47,1.68,9,17.03,0.4352
2.63,2.82,4.76,6,14.38,0.4169
3.27,7.33,4.21,2,3.89,0.4652
2.67,5.46,2.65,9,13.65,0.5465
2.97,3.05,3.25,2,2.44,0.1779
3.49,6.21,3.72,4,5.91,0.4474
2.93,5.86,3.79,4,6.29,0.3169
3.29,6.18,3.6,7,11.78,0.5018
3.18,3.67,4.02,9,15.7,0.4743
3.6,8.03,3.18,10,19.1,0.7279
2.21,3.77,3.42,4,5.89,0.217
3.34,5.54,2.7,1,2.58,0.3042
3.25,8.16,5.26,5,8.64,0.6321
3.08,5.53,2.78,5,14.72,0.5358
3.19,6.13,4.56,9,13.92,0.6069
2.76,4.3,3.03,4,6.98,0.3191
3.02,3.67,3.08,8,16.22,0.4551
3.28,6.81,4.61,1,2.1,0.4275
2.64,3.76,3.35,4,8.85,0.3334
2.96,7.29,5.42,9,17.41,0.6705
2.38,2.7,0.89,1,2.36,0.1356
2.76,7.8,5.56,5,8.83,0.6056
2.75,3.16,3.03,3,3.81,0.2718
2.98,5.41,3.19,5,14.76,0.4996
3.39,8.56,5.41,3,9.92,0.5789
2.8,5.85,2.68,11,19.34,0.5482
3.59,7.86,5.21,5,0.47,0.4726
3.91,7.86,3.9,3,3.94,0.4772
2.62,5.58,3.73,5,12.01,0.4434
3.49,6.38,3.59,0,0.2,0.1673
3.45,6.98,3.81,3,7.33,0.5143
3.03,5.13,5.13,6,11.26,0.4772
2.46,4.2,2.26,7,19.36,0.3487
2.2,1.0,1.0,0,0.0,0.0
3.02,5.11,5.11,7,11.22,0.4839
3.22,7.13,3.33,10,21.09,0.5681
2.97,6.23,2.04,2,3.81,0.3034
2.83,2.42,1.43,3,0.07,0.3244
2.06,0.3,0.3,0,0.0,0.0
3.25,8.21,3.55,5,10.31,0.4552
3.1,6.0,1.72,7,13.65,0.5267
2.35,2.26,2.28,2,1.99,0.1976
2.72,7.4,4.1,2,7.99,0.3818
3.12,4.12,3.33,10,18.97,0.5189
3.4,5.26,3.83,1,0.76,0.2765
3.31,4.69,2.5,8,20.53,0.5114
3.19,6.09,2.03,3,10.31,0.4152
2.37,2.07,1.64,2,8.97,0.2005
2.55,4.59,4.01,8,19.01,0.507
2.73,5.9,1.38,3,10.44,0.3147
3.2,4.49,4.78,5,10.93,0.4417
2.4,3.75,3.12,2,8.15,0.2414
2.79,5.32,3.05,5,9.24,0.3286
2.31,3.08,1.91,9,19.03,0.3635
3.35,8.01,4.32,9,18.08,0.5497
3.13,7.68,3.87,4,8.09,0.3826
2.71,5.47,3.09,2,8.01,0.3785
2.99,5.3,2.15,4,10.69,0.3818
3.11,4.53,3.87,2,2.2,0.3567
2.98,4.89,4.89,7,10.78,0.467
3.26,7.95,5.61,11,20.21,0.5107
2.3,1.74,1.55,8,16.42,0.409
3.13,5.98,2.59,4,5.69,0.3546
3.05,5.03,3.64,2,2.44,0.2865
2.32,1.58,1.58,0,0.0,0.0
3.67,10.0,5.61,7,21.81,0.8211
2.49,4.99,1.34,2,2.2,0.2502
2.48,4.52,4.11,5,8.85,0.3304
2.34,3.5,2.67,7,13.78,0.4391
2.84,5.57,3.23,6,20.3,0.527
3.84,9.2,9.2,9,19.4,0.8098
2.61,5.71,3.11,6,19.42,0.499
3.35,6.73,6.73,8,14.47,0.6151
2.95,3.41,3.3,4,13.11,0.3788
2.44,1.87,2.84,2,3.57,0.2259
2.87,3.51,3.85,8,15.26,0.3792
2.29,3.44,2.5,5,15.29,0.2829
2.93,3.08,2.58,9,13.35,0.439
3.06,5.27,2.14,1,1.64,0.3218
3.32,5.14,4.98,3,6.79,0.4376
3.15,8.37,4.46,2,4.86,0.3958
3.58,6.46,3.29,5,8.76,0.5614
2.23,3.11,1.46,11,21.85,0.5509
2.8,2.66,2.13,4,13.5,0.39
2.8,6.46,4.47,0,0.65,0.0891
3.82,7.09,3.64,2,4.12,0.4182
3.28,4.47,2.42,4,11.55,0.417
3.24,7.31,5.43,4,9.21,0.5604
3.05,6.27,3.02,4,9.79,0.3489
3.4,7.71,4.28,7,19.3,0.7293
3.19,7.77,5.04,5,16.23,0.512
3.84,6.99,5.24,6,9.85,0.606
3.36,5.37,3.98,8,21.13,0.5802
3.17,5.64,2.58,9,19.77,0.6337
3.14,6.46,3.19,6,12.24,0.4172
2.92,5.95,4.2,0,0.15,0.0882
2.98,5.03,2.96,7,20.05,0.4693
2.68,4.96,2.37,1,0.59,0.1236
2.82,4.07,2.38,1,1.29,0.2449
3.59,8.18,4.08,3,1.4,0.5224
3.29,7.23,3.85,3,2.96,0.344
3.59,4.85,2.65,7,15.21,0.619
2.49,4.82,1.73,5,0.4,0.2057
3.81,6.93,5.75,5,13.98,0.6599
2.79,3.93,2.2,5,13.19,0.3144
2.04,0.18,0.18,0,0.0,0.0
2.59,3.31,0.59,2,2.89,0.2304
2.26,3.32,0.91,3,9.42,0.1876
2.27,2.54,1.73,5,16.2,0.356
3.16,4.89,3.98,1,2.61,0.2265
3.33,6.82,4.97,9,22.0,0.6564
3.45,7.48,4.23,11,19.14,0.5878
2.9,6.74,2.5,5,8.39,0.3767
3.81,8.1,5.58,1,0.48,0.4651
3.51,8.87,5.34,3,10.64,0.6996
3.7,4.5,3.02,8,13.45,0.5626
3.14,6.33,3.14,7,18.02,0.5759
3.08,5.26,2.96,1,2.65,0.3014
3.28,7.03,3.43,3,9.69,0.4907
3.16,6.25,3.85,6,19.24,0.5714
3.2,4.3,4.1,4,12.16,0.435
2.99,4.42,3.09,6,14.27,0.5094
2.6,6.69,3.91,1,4.35,0.3818
3.11,5.79,3.81,7,16.6,0.5468
2.76,3.72,2.39,6,13.87,0.442
2.84,5.91,3.44,5,10.97,0.4871
3.17,5.31,0.93,7,14.13,0.5111
3.36,8.73,5.69,3,7.06,0.5531
3.75,8.74,8.74,12,18.47,0.7908
2.89,4.67,2.26,3,9.31,0.348
2.65,3.01,1.92,5,6.04,0.2637
3.12,5.61,5.61,6,12.22,0.5139
2.79,4.36,3.27,3,7.08,0.2118
2.29,1.44,1.44,0,0.0,0.0
3.69,9.25,6.09,4,12.18,0.5429
3.34,7.77,4.11,6,17.53,0.7042
3.09,6.52,2.44,7,16.86,0.4744
2.37,3.99,1.66,7,13.28,0.3228
2.53,4.45,2.44,8,20.37,0.4735
3.16,7.55,4.25,8,17.99,0.5936
2.16,6.03,2.38,7,21.15,0.3914
3.65,7.71,5.68,11,20.98,0.6535
3.42,7.11,7.11,5,15.23,0.6192
3.31,6.78,6.13,11,21.31,0.6417
2.84,3.95,2.64,4,7.15,0.4016
3.88,7.43,5.79,3,3.88,0.5288
2.22,3.85,3.16,5,13.6,0.3188
3.12,6.87,2.89,9,18.15,0.6892
3.44,8.29,4.36,5,9.27,0.5779
3.47,6.58,5.18,7,17.51,0.5978
3.61,6.11,4.62,7,18.01,0.5588
3.37,7.34,3.78,2,8.86,0.3772
3.03,3.44,4.06,7,14.24,0.4343
3.21,5.89,6.24,2,3.78,0.3426
3.25,6.25,4.4,10,17.38,0.5618
2.72,4.53,3.02,7,15.45,0.5752
3.21,6.72,4.74,9,17.81,0.664
2.53,4.16,3.48,9,19.14,0.389
2.6,4.58,2.69,8,19.61,0.4714
3.0,6.49,5.59,9,16.96,0.4174
3.43,7.78,3.27,10,19.7,0.6439
2.75,4.38,2.87,1,3.51,0.2334
3.76,8.82,8.82,8,18.64,0.7742
3.52,8.83,3.18,4,7.49,0.5374
2.73,3.91,3.36,1,4.1,0.2732
3.05,7.81,5.05,5,7.07,0.464
3.02,4.9,1.97,1,2.87,0.2393
2.99,8.1,4.66,6,17.72,0.6381
3.27,7.57,3.92,6,11.16,0.4323
2.44,3.71,2.49,2,0.19,0.156
3.02,4.93,3.45,7,19.95,0.4396
4.0,9.98,9.98,10,20.96,0.8754
3.65,8.36,5.89,2,3.55,0.4832
2.76,4.28,2.89,5,16.08,0.463
3.78,5.9,4.71,11,19.14,0.646
3.25,7.38,4.65,4,10.23,0.526
3.03,6.61,2.59,7,12.82,0.4229
3.52,6.98,4.37,4,7.5,0.5017
2.67,5.11,2.25,2,2.8,0.1455
2.93,2.79,2.43,4,0.09,0.2769
2.67,3.33,3.33,0,0.0,0.0196
2.89,5.93,2.92,4,5.87,0.3425
2.82,7.3,4.07,1,4.49,0.3411
2.9,6.07,3.66,3,8.88,0.4183
2.93,4.57,1.55,8,11.75,0.3013
3.28,7.43,2.26,3,9.66,0.4616
3.29,5.77,4.55,4,7.23,0.5165
3.24,7.53,3.26,9,18.1,0.6082
3.17,5.48,3.86,5,10.04,0.393
2.86,4.1,1.85,11,19.09,0.397
3.32,6.85,4.34,7,17.9,0.632
2.43,2.14,2.14,0,0.0,0.0
3.21,6.15,6.51,8,15.82,0.4748
2.55,4.43,3.02,10,18.24,0.372
2.27,1.34,1.34,0,0.0,0.0
2.3,0.55,1.75,1,1.11,0.1152
2.36,3.43,2.88,0,0.06,0.115
2.88,4.75,4.16,4,6.87,0.4693
2.19,3.67,3.46,6,16.65,0.3997
2.87,9.19,3.75,2,2.67,0.4378
2.61,4.13,3.85,4,0.74,0.3437
3.85,9.24,9.24,6,19.48,0.7909
2.75,2.77,2.77,11,19.14,0.4155
2.94,6.83,2.71,6,21.55,0.5963
2.72,3.61,3.61,3,8.21,0.3264
3.46,7.14,5.06,9,14.35,0.6375
3.08,6.66,3.03,10,18.15,0.5798
2.07,4.01,2.08,6,15.35,0.4547
3.83,9.14,9.14,11,19.28,0.8164
2.49,2.95,2.49,7,13.45,0.3377
2.94,4.34,3.76,1,1.18,0.2654
3.67,5.71,5.73,5,11.05,0.5985
2.82,4.82,2.11,10,19.02,0.4614
3.61,4.69,3.61,9,19.88,0.5535
3.48,4.11,5.22,1,2.75,0.3533
2.72,3.59,3.59,5,8.17,0.3498
2.44,3.23,2.04,3,8.77,0.1949
2.61,4.06,2.9,3,10.57,0.3861
2.81,4.22,1.87,1,2.96,0.2066
3.01,4.4,4.15,5,16.53,0.4069
2.67,3.5,2.34,3,11.62,0.3509
3.12,6.35,6.23,7,12.06,0.5654
2.51,4.17,2.57,8,17.41,0.4947
3.64,6.98,5.77,1,5.0,0.4896
2.91,3.58,3.03,9,21.04,0.4334
3.9,7.41,4.71,7,11.3,0.6523
3.18,7.18,2.14,10,18.21,0.5884
2.01,5.21,3.8,3,7.61,0.2741
2.85,8.3,3.93,7,13.49,0.5631
3.09,7.35,2.82,9,16.42,0.6622
3.42,6.78,5.57,7,11.43,0.5812
2.48,3.38,1.7,12,21.11,0.5157
2.68,3.02,1.91,4,5.64,0.2238
2.86,5.2,4.09,3,9.01,0.413
3.23,5.17,4.78,4,10.28,0.4441
3.3,7.71,1.83,1,3.98,0.45
2.3,2.24,2.65,5,9.9,0.2292
2.29,3.32,1.46,6,16.34,0.3949
2.43,5.69,1.83,7,11.23,0.3917
2.88,4.41,4.41,5,9.82,0.4126
2.61,2.94,1.93,11,21.22,0.4625
3.3,4.72,3.51,1,5.27,0.369
3.1,3.58,5.08,10,16.54,0.5685
2.12,5.32,1.59,5,14.87,0.3721
3.46,5.1,2.94,5,14.1,0.4361
2.38,3.77,1.54,1,3.64,0.1138
2.62,5.04,3.92,7,10.6,0.4503
3.85,8.3,5.46,3,3.4,0.5233
3.82,6.39,4.51,2,2.33,0.4372
3.37,4.97,4.53,1,5.82,0.4255
2.51,2.6,1.15,7,10.34,0.2313
3.08,4.92,4.42,7,9.7,0.6029
3.04,4.81,3.04,2,0.34,0.2029
3.25,4.77,4.12,8,17.75,0.647
3.55,7.74,7.74,9,16.47,0.6981
2.53,5.16,2.21,2,5.6,0.354
3.74,6.04,4.24,10,17.03,0.5425
2.65,4.08,1.33,4,8.16,0.28
2.38,3.58,2.27,1,5.26,0.1065
3.47,6.88,4.45,9,17.5,0.7007
2.95,5.77,2.87,1,5.92,0.3659
2.84,3.58,1.67,1,5.24,0.2296
3.21,7.06,4.51,11,17.57,0.4984
3.29,5.69,5.29,5,15.48,0.5497
3.32,8.95,5.29,9,17.0,0.727
2.89,5.37,3.4,7,19.83,0.5396
2.08,3.25,1.6,5,11.05,0.2712
3.08,7.11,3.75,1,4.22,0.4337
3.32,5.38,4.62,7,12.34,0.617
3.49,8.81,4.73,9,18.39,0.6386
3.68,4.72,5.19,8,15.23,0.5256
2.64,5.5,3.01,4,8.62,0.3269
3.01,5.73,2.03,8,21.08,0.5633
3.31,4.21,5.5,3,0.08,0.4264
3.23,7.93,4.92,8,14.15,0.6086
2.77,5.07,2.82,2,3.52,0.2371
3.17,7.36,4.24,5,8.63,0.5365
3.25,5.43,3.71,5,12.82,0.5705
2.85,6.05,3.21,3,4.84,0.3705
3.05,4.14,4.06,7,19.02,0.4079
2.17,1.4,2.36,3,10.64,0.2865
3.48,7.0,5.93,2,8.94,0.4909
2.41,3.16,2.66,6,11.13,0.3009
2.23,1.14,1.14,0,0.0,0.0
3.29,6.23,3.28,10,21.49,0.6536
2.97,5.04,3.91,4,10.16,0.3946
3.13,7.1,3.0,5,10.0,0.5543
2.15,3.58,2.17,8,13.47,0.368
2.5,1.26,1.76,7,14.41,0.4033
2.19,2.61,2.01,6,10.85,0.3859
3.63,8.24,4.29,6,11.43,0.6298
3.11,8.39,4.78,3,9.78,0.6836
2.9,3.99,1.85,2,3.23,0.3002
2.55,4.56,2.29,5,11.19,0.4183
3.09,6.26,3.9,2,7.02,0.3509
2.73,5.07,4.04,2,5.42,0.4314
2.59,4.73,3.71,13,21.98,0.5597
3.91,9.56,9.56,10,20.12,0.8432
2.68,6.2,5.4,11,18.43,0.562
3.34,6.71,6.71,5,14.43,0.5886
3.73,5.03,4.85,5,13.13,0.5342
3.0,4.23,4.27,2,1.7,0.3144
2.7,4.03,3.2,6,18.14,0.5038
2.63,3.28,2.6,2,4.46,0.3045
3.75,6.56,4.15,9,13.73,0.7424
2.43,5.3,2.79,2,1.23,0.3211
3.57,6.69,3.89,10,20.9,0.7215
3.59,6.12,2.65,11,21.58,0.6949
3.12,6.07,4.78,6,19.4,0.5254
3.52,6.97,4.06,1,4.3,0.3694
2.58,5.25,3.74,5,7.54,0.3715
2.39,4.65,1.33,2,2.75,0.2717
3.05,5.17,3.75,2,4.77,0.3334
2.9,5.33,2.49,10,20.5,0.5657
2.1,0.52,0.52,0,0.0,0.0
3.82,5.26,5.37,3,4.16,0.5678
3.55,7.76,7.76,6,16.51,0.6776
3.25,7.47,4.66,6,20.83,0.6217
2.51,5.11,2.49,10,17.46,0.4184
2.76,5.41,3.06,2,3.53,0.3
2.79,4.64,4.66,12,19.1,0.4547
3.56,6.64,5.37,6,11.31,0.513
3.43,6.35,3.87,7,11.96,0.6198
2.7,2.88,1.54,3,6.71,0.3098
3.48,6.77,5.43,4,6.37,0.4506
3.38,8.29,2.89,1,2.72,0.2599
3.38,3.0,3.09,3,5.53,0.3315
2.12,4.45,2.03,1,2.29,0.1747
3.36,5.0,3.71,6,18.65,0.5717
2.41,4.76,0.21,11,18.61,0.3758
2.79,5.18,2.66,6,12.03,0.4209
3.15,6.33,2.49,6,16.17,0.5366
2.65,5.19,4.78,11,17.69,0.591
3.0,3.68,3.61,8,16.87,0.4813
3.65,9.12,7.25,2,7.57,0.6071
2.99,6.74,2.83,10,18.49,0.5356
3.4,6.75,3.84,2,5.97,0.431
3.17,5.85,5.85,5,12.7,0.5227
3.06,4.09,2.14,5,0.55,0.2825
2.76,4.14,3.43,2,2.7,0.2609
2.56,3.9,3.45,1,5.62,0.2447
3.3,5.83,3.05,4,10.32,0.4122
2.6,4.55,3.37,6,13.2,0.3871
2.91,7.42,4.97,7,18.2,0.5512
2.74,3.23,3.42,3,5.13,0.2123
2.22,1.1,1.1,0,0.0,0.0
2.06,0.32,0.32,0,0.0,0.0
2.26,3.68,2.07,10,19.84,0.4522
