total_projects,total_tasks,hard_tasks,years_at_company,KPI
1,16,1,0.54,0.8844
2,5,5,0.1,0.5839
2,6,3,0.12,0.1917
1,18,10,0.1,0.5325
2,8,4,0.37,0.4738
2,4,4,0.2,0.5148
6,7,6,10.0,0.5245
1,21,10,0.24,0.2637
5,20,4,4.44,0.7558
3,8,4,0.49,0.2067
2,6,0,2.77,0.7945
1,11,4,0.31,0.6686
2,15,12,1.49,0.5665
1,4,0,0.41,0.8549
1,3,3,0.1,0.0452
2,15,5,3.8,0.8202
1,14,2,0.1,0.851
2,12,4,2.2,0.513
1,16,5,1.95,0.7455
2,3,3,0.1,0.4491
2,5,0,0.11,0.4252
2,6,3,0.1,0.225
3,9,9,5.93,0.2221
1,4,2,0.55,0.4083
1,9,2,3.32,0.8908
3,21,4,4.41,0.8789
3,5,1,0.1,0.6576
5,22,22,9.2,0.5331
2,11,10,0.1,0.4259
1,7,0,0.14,0.6164
1,7,6,0.39,0.4138
2,3,1,0.1,0.3755
1,9,9,0.1,0.2286
2,9,7,0.85,0.5063
1,4,1,0.17,0.3655
1,3,2,0.22,0.1113
1,5,4,0.64,0.5254
2,20,17,0.1,0.5904
2,8,0,2.89,0.85
2,6,1,0.19,0.6165
1,4,0,0.22,0.3615
1,20,7,0.76,0.7657
1,50,9,5.11,0.9988
1,10,2,2.99,0.8855
1,6,1,0.1,0.4736
2,52,17,4.63,0.8026
1,9,0,0.15,0.544
1,13,0,0.1,0.9132
2,3,3,1.35,0.2417
3,7,3,5.71,0.7496
6,200,189,9.74,0.6101
3,15,4,3.91,0.5903
2,43,9,1.17,0.88
2,5,5,0.21,0.333
1,7,7,3.36,0.4758
2,8,8,0.64,0.5
3,18,5,1.79,0.4454
1,30,0,0.21,0.7553
1,32,32,6.54,0.6877
2,3,1,0.1,0.9001
1,3,2,0.1,0.5833
1,4,0,0.27,0.857
2,8,3,0.1,0.4946
1,4,0,0.41,0.7156
1,3,0,0.1,0.4092
5,21,21,9.31,0.5119
2,4,2,0.25,0.6085
2,17,14,0.93,0.3176
1,5,1,2.28,0.8481
1,3,1,0.1,0.7691
1,4,0,0.1,0.5118
2,8,3,0.29,0.3488
2,15,5,0.2,0.6833
1,4,0,0.2,0.4758
1,43,22,0.75,0.6649
3,65,50,0.86,0.6137
2,12,9,0.71,0.3593
2,3,2,0.1,0.0882
1,14,5,0.1,0.6328
3,7,0,2.75,0.726
1,6,1,0.1,0.657
3,17,9,0.37,0.3118
2,6,1,0.31,0.5423
1,6,1,0.13,0.8718
1,5,5,1.38,0.4476
1,3,3,1.36,0.5282
1,23,19,3.35,0.5801
2,3,2,0.12,0.4751
2,39,33,2.64,0.3485
2,5,1,0.14,0.4424
1,3,0,0.27,0.9118
1,3,0,0.1,0.8886
1,7,1,0.1,0.5418
1,5,0,0.1,0.4992
1,4,0,0.46,0.83
2,15,8,0.1,0.5013
2,27,7,0.12,0.5428
3,19,3,1.7,0.8506
1,15,2,0.25,0.6645
3,3,3,0.17,0.1289
1,14,3,0.12,0.6464
2,5,0,0.1,0.6292
1,3,0,0.33,0.43
3,8,4,1.31,0.6405
1,18,18,5.29,0.5112
1,5,4,0.42,0.4291
2,8,4,0.1,0.3235
3,3,3,0.22,0.2038
1,3,1,0.26,0.5671
1,5,0,3.83,0.8676
2,6,0,0.14,0.4683
2,8,8,0.57,0.5051
1,31,30,0.1,0.4646
4,54,48,9.99,0.6788
1,3,1,0.1,0.5228
2,15,11,1.08,0.5088
1,96,96,3.84,0.4866
1,3,2,0.1,0.4007
1,9,6,0.1,0.3167
2,19,11,0.18,0.2737
1,5,3,0.39,0.2059
1,6,4,0.1,0.2141
3,15,13,0.14,0.3948
1,3,0,0.41,0.6503
1,9,6,0.23,0.5364
1,8,8,0.22,0.5232
2,11,5,4.51,0.7168
5,18,12,9.94,0.5143
1,4,1,0.21,0.689
4,85,82,5.43,0.6114
2,33,0,0.94,0.7626
2,3,1,0.1,0.2292
1,6,2,0.1,0.5186
1,3,3,0.1,0.1359
1,5,4,0.1,0.3245
1,33,32,6.92,0.6736
2,5,2,0.78,0.4915
1,7,1,0.34,0.7191
2,4,1,0.22,0.4935
2,3,2,3.64,0.6083
1,4,0,0.1,0.7153
2,93,89,6.5,0.4607
1,3,0,0.1,0.9053
1,7,4,3.42,0.3096
1,3,3,0.1,0.2308
2,3,3,1.35,0.4345
2,6,5,0.27,0.4083
1,7,0,0.1,0.9523
1,4,3,0.36,0.3006
1,8,4,0.54,0.5215
5,18,5,4.32,0.6818
2,11,0,0.1,0.8688
2,12,9,0.1,0.3568
2,6,0,0.2,0.461
1,19,6,0.24,0.4272
1,18,4,0.25,0.5278
3,46,11,2.63,0.7696
2,4,1,0.24,0.7997
1,4,3,0.13,0.5313
1,9,1,0.1,0.5483
1,6,0,0.18,0.7277
1,3,0,0.1,0.6029
1,5,0,0.25,0.9
3,20,11,0.1,0.3384
1,9,4,4.45,0.6889
1,6,3,1.12,0.5086
1,4,4,6.76,0.591
3,3,3,6.25,0.5499
1,9,7,0.1,0.4898
3,5,0,1.2,0.8652
2,6,0,0.1,0.9399
1,4,1,0.1,0.5737
1,9,0,3.99,0.678
2,4,3,2.9,0.5625
1,9,1,1.56,0.8697
1,32,21,0.18,0.6173
2,46,11,2.79,0.6774
2,6,3,0.38,0.8153
1,19,19,3.89,0.4868
1,16,15,0.1,0.2328
1,3,3,0.19,0.0557
1,5,0,0.1,0.9
2,21,4,2.43,0.8769
2,7,1,0.1,0.9134
1,8,6,0.15,0.0756
1,37,19,0.67,0.6744
1,9,0,0.1,0.8874
1,5,2,1.92,0.8
1,6,1,0.45,0.8801
1,6,3,0.31,0.2576
1,48,47,0.91,0.544
1,6,4,0.19,0.3127
2,6,4,0.38,0.2246
1,3,3,0.12,0.1
2,6,0,0.28,0.9968
1,7,2,0.1,0.3381
1,3,3,0.76,0.4926
2,19,15,0.1,0.5533
1,5,4,0.1,0.2926
3,10,10,7.19,0.43
2,10,10,0.23,0.1922
1,5,1,0.5,0.5064
2,38,33,2.55,0.3076
1,14,14,0.16,0.5161
2,5,0,0.1,0.6597
2,6,2,0.55,0.6718
2,4,1,0.22,0.4309
5,15,3,3.75,0.6099
4,30,5,2.44,0.8992
2,7,1,3.43,0.8571
2,10,3,1.53,0.2465
1,11,2,0.1,0.7258
1,9,7,0.26,0.4351
3,3,3,7.02,0.5528
1,5,1,0.1,0.6904
2,3,0,0.1,0.5322
4,17,10,0.64,0.2566
2,5,5,0.1,0.4415
1,7,1,0.17,0.6815
1,14,10,0.55,0.3714
2,5,3,1.01,0.3406
2,14,3,0.63,0.818
1,4,4,0.1,0.2523
1,3,0,0.23,0.6366
2,22,22,0.63,0.2273
2,13,1,0.5,0.8539
6,200,188,9.63,0.6398
2,4,3,2.37,0.4716
1,7,0,0.1,0.7498
1,11,8,0.12,0.54
2,5,2,0.1,0.1734
2,15,2,2.22,0.8399
2,10,2,0.22,0.49
4,204,189,9.97,0.603
2,6,4,0.34,0.2136
1,22,22,1.69,0.5062
1,5,0,0.14,0.4834
2,5,0,0.1,0.939
2,7,4,1.57,0.4671
2,5,3,0.1,0.2013
3,57,38,0.17,0.6527
4,8,4,1.53,0.3434
3,12,7,2.03,0.5586
1,11,0,0.13,0.49
1,5,5,0.1,0.3733
1,9,5,3.82,0.4103
1,4,1,0.28,0.4499
1,3,0,0.19,0.9154
2,9,9,0.1,0.0211
1,3,1,0.13,0.6028
1,6,4,0.27,0.4559
2,3,3,1.15,0.5359
1,7,2,0.1,0.4575
1,3,0,0.1,0.7667
2,7,4,0.26,0.5058
2,14,5,0.1,0.6255
1,5,2,0.13,0.2638
2,30,30,0.5,0.3689
1,16,0,0.39,0.877
1,14,4,0.71,0.7714
2,12,8,2.14,0.524
2,8,0,2.14,0.8266
1,5,3,0.1,0.363
2,5,3,0.1,0.7035
1,3,0,0.1,0.6333
1,19,0,0.1,0.9105
1,30,0,0.1,0.7667
2,3,3,0.1,0.56
1,3,1,0.1,0.4618
1,7,0,0.1,0.8211
2,7,2,0.24,0.7522
2,10,9,0.23,0.2637
1,5,3,0.49,0.4391
2,19,7,0.23,0.8131
1,8,0,0.1,0.9
2,7,2,0.28,0.5899
3,8,5,2.51,0.2937
2,3,3,1.64,0.1
2,13,2,0.48,0.8
1,11,0,0.1,0.9
1,14,1,0.39,0.8818
2,3,1,0.73,0.8919
2,3,3,0.21,0.4845
1,13,12,0.1,0.5397
2,12,0,0.22,0.709
2,36,33,2.43,0.44
1,6,4,0.15,0.4906
1,3,1,0.17,0.4408
1,5,3,0.16,0.2375
2,5,0,2.2,0.8543
1,6,1,0.2,0.8682
1,9,9,0.1,0.1889
1,6,5,1.34,0.4937
2,5,2,0.13,0.5894
2,28,20,3.98,0.498
1,8,6,1.89,0.5448
1,9,6,1.21,0.5039
1,3,3,0.17,0.5
1,5,3,0.1,0.52
1,5,2,0.1,0.0961
3,16,11,0.48,0.3872
3,20,4,4.72,0.9366
1,3,3,0.13,0.0868
1,20,9,0.71,0.5394
2,14,11,4.23,0.5179
1,4,1,1.62,0.8358
1,3,0,0.1,0.9
1,6,1,0.11,0.6583
2,3,0,0.13,0.469
1,18,16,0.37,0.5624
2,3,0,0.19,0.6867
2,8,7,0.17,0.1885
2,17,13,4.87,0.5618
2,16,4,0.1,0.3593
1,7,1,0.12,0.7987
1,9,0,0.1,0.9
2,65,60,1.37,0.6818
2,4,3,0.1,0.4616
2,8,1,0.1,0.5971
3,54,37,0.28,0.6155
1,5,0,0.27,0.4917
1,40,34,2.45,0.3727
2,6,0,0.1,0.6182
2,27,27,0.63,0.365
1,3,3,0.23,0.0856
1,9,9,0.15,0.1444
8,19,16,4.9,0.4729
2,29,20,4.05,0.5715
1,12,6,0.32,0.6034
1,7,1,0.1,0.4981
1,3,3,0.31,0.0753
1,3,3,0.36,0.5435
1,45,25,4.05,0.5437
4,19,8,0.18,0.3938
1,3,1,0.37,0.5232
1,7,1,3.72,0.6857
4,4,2,3.72,0.6121
2,3,3,0.1,0.2885
1,7,5,0.1,0.5607
1,8,2,0.14,0.6503
3,11,7,2.46,0.5799
1,5,3,0.1,0.1142
2,12,5,0.14,0.3458
1,4,4,1.71,0.4
2,4,3,0.3,0.1028
1,4,4,0.1,0.1
1,13,10,0.1,0.404
3,13,4,2.89,0.8379
1,4,4,1.24,0.5596
5,202,189,9.79,0.6689
1,3,3,0.57,0.5794
2,46,7,0.87,0.7308
1,7,4,0.25,0.2145
2,8,4,0.27,0.4318
1,14,0,0.1,0.6143
1,3,0,0.27,0.7447
2,7,5,0.17,0.3418
1,12,9,0.27,0.1958
1,13,10,0.63,0.3085
2,7,4,2.03,0.5815
1,16,16,0.94,0.375
1,9,5,1.09,0.4079
1,3,3,0.1,0.0834
1,3,0,2.41,0.8761
1,7,0,2.61,0.8331
1,6,1,0.1,0.8228
3,18,13,0.4,0.4661
1,9,2,0.1,0.6313
2,11,3,0.18,0.7913
1,15,5,0.23,0.5924
2,9,1,0.1,0.7717
2,5,0,0.17,0.9046
1,12,0,0.25,0.6472
1,13,3,0.82,0.7855
1,4,2,0.11,0.7016
1,19,2,1.15,0.7836
1,44,37,3.29,0.6664
2,8,8,1.98,0.5466
3,8,8,6.83,0.6186
1,10,1,3.01,0.8437
1,6,3,0.1,0.3952
1,3,0,0.1,0.5
1,12,0,0.1,0.8524
2,10,3,0.21,0.4243
1,5,1,0.39,0.9519
1,12,2,0.87,0.5463
1,4,0,0.1,0.4606
2,14,1,0.69,0.9143
1,5,5,0.88,0.5224
2,23,17,0.52,0.4479
2,16,9,0.34,0.3788
3,7,4,5.24,0.4958
2,15,1,0.1,0.9076
2,53,52,2.18,0.4484
1,7,3,0.22,0.4082
1,32,32,0.66,0.4425
1,4,0,0.1,0.5423
1,7,4,0.1,0.2379
5,9,7,3.0,0.4994
1,8,4,0.74,0.625
1,4,4,0.21,0.0955
1,24,2,0.48,0.9548
1,3,1,0.45,0.8425
1,7,6,2.43,0.3782
1,6,4,0.93,0.5538
1,5,0,0.28,0.7937
3,46,9,2.76,0.7141
1,4,0,0.1,0.8369
2,6,0,0.1,0.93
1,18,18,1.99,0.5
1,8,0,0.13,1.0
2,14,5,7.55,0.6884
1,20,2,1.16,0.8542
1,7,5,0.31,0.4
1,10,4,2.09,0.6438
4,6,6,2.93,0.5481
1,14,13,1.4,0.5179
1,9,9,2.01,0.475
2,3,0,0.1,0.7336
2,9,0,0.1,0.4903
3,28,4,2.38,0.8643
1,6,5,0.1,0.2767
2,6,6,0.58,0.4775
2,6,1,0.1,0.6677
1,15,3,0.33,0.4268
1,9,8,0.1,0.178
2,10,9,1.61,0.5232
1,6,4,0.12,0.1848
1,67,59,1.34,0.6099
3,7,1,0.1,0.5055
1,21,7,0.38,0.7184
3,5,4,1.17,0.6409
2,5,4,0.81,0.3594
1,22,21,3.28,0.5672
1,3,3,0.1,0.4405
1,3,0,0.19,0.7205
1,6,1,2.02,0.5345
3,3,2,0.1,0.5666
2,46,0,2.26,0.8757
2,5,1,0.1,0.4142
1,5,4,1.43,0.279
1,4,2,1.37,0.5011
2,53,28,1.96,0.6192
3,34,4,2.45,0.8085
1,3,1,0.14,0.8634
2,4,1,0.19,0.6501
1,27,4,3.06,0.9275
1,8,6,6.7,0.5746
1,12,12,0.36,0.5699
1,12,0,0.1,0.9279
1,4,4,0.1,0.5553
1,5,0,0.1,0.5
1,5,5,0.1,0.4328
1,5,0,0.1,0.5027
1,13,3,0.75,0.8148
1,7,0,0.1,0.5
1,27,1,1.2,0.6868
1,11,10,2.37,0.4761
3,13,13,1.09,0.4673
1,3,0,0.27,0.8743
1,8,5,0.19,0.2892
1,17,13,0.53,0.4031
1,3,2,0.1,0.559
3,16,13,1.44,0.4621
1,3,3,0.31,0.6
1,6,2,0.33,0.6699
1,54,52,2.21,0.4159
1,7,0,2.15,0.6297
1,41,21,0.1,0.7078
1,9,1,0.1,0.9137
1,8,1,0.15,0.5688
1,3,1,0.1,0.5893
2,5,5,0.24,0.5222
1,22,17,0.67,0.5175
1,17,1,0.28,0.7793
3,6,1,3.94,0.8867
1,23,23,1.1,0.4512
2,6,6,0.37,0.453
1,8,4,1.05,0.4857
1,3,2,1.55,0.829
1,6,4,9.76,0.3952
2,4,3,0.1,0.0949
3,3,1,1.1,0.69
3,17,4,3.58,0.8674
2,10,10,0.12,0.2275
1,12,12,0.42,0.359
1,99,99,4.11,0.5376
3,19,3,4.68,0.953
1,6,5,0.19,0.4654
1,5,4,0.1,0.23
1,98,96,9.07,0.3843
1,35,19,0.34,0.7118
2,19,3,1.27,0.9007
2,4,4,0.53,0.4839
1,3,0,0.1,0.6333
2,3,3,0.1,0.3615
1,4,0,0.1,0.6037
3,19,8,0.24,0.3249
2,11,1,0.44,0.7934
1,13,1,0.1,0.7473
1,3,3,0.22,0.2333
1,7,6,0.11,0.3071
1,8,1,0.1,0.7297
1,9,9,1.85,0.4769
1,11,11,1.67,0.5012
1,3,2,0.41,0.4567
2,17,14,4.66,0.4929
1,4,0,0.33,0.6388
1,7,7,2.93,0.4294
2,4,4,0.28,0.1073
2,3,3,0.29,0.3045
1,12,1,0.1,0.8397
1,55,55,0.57,0.5582
1,15,2,1.43,0.8339
1,14,11,4.14,0.5418
2,12,0,0.1,0.712
3,28,16,9.49,0.4447
1,12,11,0.1,0.5679
1,3,1,0.19,0.5818
2,4,2,0.1,0.2817
2,20,4,2.47,0.83
1,14,0,0.27,0.7785
1,3,3,0.14,0.1347
2,3,2,0.74,0.3886
1,4,2,0.65,0.5222
2,3,0,0.1,0.8576
2,6,5,0.42,0.0697
1,6,2,0.1,0.6005
1,5,0,0.28,0.7522
1,5,1,0.38,0.7522
2,7,7,1.76,0.4637
1,17,15,0.1,0.5455
2,6,1,0.37,0.6873
1,12,2,3.58,0.7753
1,10,4,3.03,0.4625
2,7,3,0.29,0.7258
2,8,6,0.1,0.1151
1,8,0,0.23,0.7386
1,10,10,0.1,0.26
1,3,0,0.1,0.9519
1,9,3,0.64,0.603
2,7,0,0.1,0.8101
1,4,0,0.13,0.8814
3,8,6,0.2,0.4108
1,5,1,0.15,0.5116
1,5,5,0.15,0.5048
1,19,0,0.45,0.7291
1,3,1,0.1,0.926
2,5,1,0.22,0.45
2,5,0,3.83,0.7751
1,38,34,2.39,0.5116
1,3,3,0.2,0.4819
1,9,1,2.78,0.8722
3,48,3,3.82,1.0
1,21,0,0.15,0.7836
1,8,6,0.1,0.5606
3,9,5,3.73,0.552
1,4,4,2.72,0.4208
1,6,1,0.1,0.5931
1,7,5,1.3,0.5953
2,10,4,3.12,0.3588
3,9,4,0.1,0.5589
2,13,6,2.22,0.6212
2,12,4,2.25,0.3162
1,4,2,0.1,0.645
2,5,0,0.1,0.8243
2,21,9,0.61,0.6302
1,4,2,7.43,0.475
1,8,0,0.27,0.5306
1,3,0,0.1,0.6333
1,49,44,0.66,0.4705
1,4,4,1.22,0.5
2,3,2,0.1,0.1335
1,5,5,1.54,0.4016
3,7,1,0.14,0.4569
4,131,103,7.1,0.6281
2,3,3,0.29,0.4914
1,3,3,1.01,0.2718
4,14,11,8.71,0.4647
1,3,3,0.31,0.5109
2,3,3,0.1,0.5898
1,3,0,0.1,0.441
1,7,4,1.79,0.5275
2,3,2,2.58,0.45
1,5,4,10.0,0.5215
2,21,4,4.83,0.9023
2,3,1,3.86,0.7016
1,3,0,0.1,0.9
1,18,5,0.68,0.7989
1,5,5,1.65,0.5
1,3,1,0.24,0.4482
2,20,17,4.51,0.5812
1,3,1,2.06,0.5056
2,18,10,0.1,0.1554
1,13,2,0.27,0.7518
1,10,0,1.72,0.8567
2,3,1,0.44,0.9282
1,3,3,0.29,0.416
1,4,4,0.12,0.2074
1,7,5,0.1,0.5714
1,11,5,4.73,0.7056
1,47,24,3.42,0.4637
1,3,1,0.28,0.7292
2,17,16,0.26,0.519
1,3,0,0.1,0.6333
1,7,5,1.0,0.5387
2,4,2,0.1,0.3805
1,5,2,0.1,0.48
1,10,8,0.28,0.55
1,26,0,0.75,0.7625
1,3,3,0.23,0.1884
1,3,3,0.55,0.5438
2,6,6,0.1,0.4583
1,32,21,0.42,0.5252
2,3,3,0.31,0.3216
1,3,3,0.16,0.1318
1,5,0,0.24,0.8961
1,5,5,0.1,0.1552
1,3,3,0.22,0.3316
1,3,3,1.7,0.4055
2,3,3,0.13,0.2821
2,21,16,3.37,0.5245
2,5,2,0.1,0.3845
1,10,0,2.95,0.8942
1,89,87,1.96,0.4491
1,6,0,0.1,0.9737
2,7,2,3.57,0.8419
1,21,17,0.47,0.4761
1,4,1,0.11,0.6375
2,4,0,0.29,0.8836
1,6,6,0.6,0.4017
1,3,3,0.1,0.1103
2,6,1,0.24,0.5343
1,12,0,0.1,0.7994
1,40,22,0.15,0.6259
1,22,0,0.23,0.8675
3,6,3,5.77,0.636
2,15,15,0.21,0.5692
2,11,11,0.27,0.4306
2,9,4,0.99,0.8089
1,7,5,0.17,0.4845
3,9,9,5.91,0.2405
1,6,1,0.81,0.7917
2,3,2,0.1,0.4836
2,65,51,0.78,0.6177
1,3,2,0.1,0.1639
1,20,9,0.42,0.8201
2,9,2,0.17,0.6154
2,8,0,0.12,0.5852
1,8,1,0.11,0.7688
1,3,3,0.81,0.3389
1,5,0,0.1,0.6315
1,3,0,0.36,0.7215
3,6,5,5.48,0.5597
2,17,2,0.1,0.7525
1,6,0,0.12,0.7465
1,50,44,0.78,0.4679
1,3,0,0.1,0.909
2,4,0,0.13,0.6569
1,14,5,1.68,0.8107
2,4,1,2.95,0.892
2,7,5,0.22,0.1511
1,9,8,0.88,0.3326
1,7,1,2.77,0.8537
1,3,0,0.1,0.7667
1,4,0,0.1,0.5
2,8,3,0.12,0.5355
1,13,10,0.1,0.4072
1,5,5,0.29,0.507
3,5,1,0.18,0.5375
2,4,3,0.78,0.3874
1,8,5,2.57,0.3937
1,4,1,0.1,0.6969
1,3,1,0.4,0.8627
1,6,5,1.18,0.5417
3,16,5,3.84,0.8162
2,21,14,0.1,0.4847
1,9,5,0.1,0.5684
1,9,0,0.36,0.5112
1,11,5,0.17,0.4182
1,7,5,0.1,0.5057
1,3,0,0.42,0.9198
1,24,24,1.6,0.192
1,4,0,0.1,0.7898
2,3,0,0.22,0.5221
1,3,3,0.55,0.504
1,30,0,0.2,0.8564
1,3,0,0.1,0.9
3,6,4,0.32,0.3667
1,16,4,0.5,0.7947
1,6,1,0.46,0.4639
2,11,1,2.87,0.8578
2,6,3,0.1,0.4551
1,5,3,1.87,0.7966
3,3,1,2.1,0.4318
1,9,7,0.2,0.2913
2,3,2,0.1,0.5476
2,4,2,2.92,0.8356
1,5,0,0.29,0.9185
1,28,0,0.91,0.6842
2,11,8,0.19,0.2533
2,6,2,0.1,0.4449
2,7,7,0.23,0.2566
1,5,0,0.3,0.4594
1,30,30,2.53,0.4329
1,7,5,0.86,0.4396
2,5,0,0.12,0.5115
1,7,2,0.2,0.7143
1,4,1,0.3,0.6669
1,4,3,1.2,0.5151
1,12,12,0.1,0.4781
1,26,26,1.64,0.5036
3,4,3,3.5,0.4809
1,5,2,0.1,0.6855
1,6,2,0.1,0.6458
2,3,1,0.34,0.6562
1,7,2,0.28,0.646
1,6,3,0.17,0.6088
2,11,1,0.55,0.8087
1,18,16,0.26,0.5278
1,3,2,0.54,0.8049
3,8,6,2.36,0.2791
3,5,4,6.12,0.3357
1,10,3,0.1,0.4719
1,21,1,0.1,0.7472
2,3,1,0.1,0.6447
1,3,0,0.3,0.6205
1,5,4,0.89,0.2144
1,18,15,0.1,0.5191
1,9,1,0.2,0.6794
2,4,0,0.34,0.4114
1,5,5,0.55,0.5
2,16,3,0.1,0.8043
2,53,16,4.52,0.7906
5,7,5,3.91,0.4205
1,3,1,0.1,0.4167
1,5,0,0.1,0.5392
2,6,2,4.16,0.7999
2,6,0,3.95,0.7289
2,9,9,5.96,0.3475
2,7,5,4.64,0.5071
1,11,4,0.34,0.5639
3,11,11,0.48,0.3755
2,24,4,3.06,0.8603
1,16,1,0.59,0.7689
1,3,3,0.13,0.5615
1,3,3,0.1,0.3898
2,9,4,2.96,0.4839
1,5,1,0.11,0.69
1,7,6,1.02,0.4856
2,7,2,1.01,0.5429
1,8,7,0.21,0.5173
1,3,0,0.21,0.6333
2,3,1,3.67,0.6
2,4,1,0.32,0.7701
1,3,1,0.1,0.6511
2,5,5,1.75,0.5
1,5,0,0.1,0.8686
1,15,0,0.1,0.8999
2,8,1,0.52,0.8782
2,8,8,3.24,0.5
2,6,3,0.1,0.6131
1,9,1,0.37,0.7434
2,31,1,0.1,0.8108
1,5,5,0.31,0.5
1,4,3,0.16,0.5279
1,19,18,3.1,0.5295
2,11,0,0.18,0.6637
1,3,3,0.1,0.1
1,14,5,1.75,0.7801
2,3,2,0.1,0.6716
1,3,0,0.34,0.6336
2,4,1,0.17,0.9242
2,3,1,0.1,0.8999
1,4,0,0.1,0.9
2,3,3,0.17,0.2381
1,9,1,0.26,0.9007
1,3,3,0.1,0.5137
2,13,4,0.1,0.6501
1,6,1,0.21,0.6187
1,7,0,0.17,0.4842
1,9,9,0.1,0.2149
1,4,0,0.21,0.6806
2,5,0,0.16,0.6034
1,3,3,2.62,0.524
1,13,11,0.1,0.278
1,4,3,0.19,0.1698
1,10,4,1.0,0.4178
2,3,3,0.1,0.4474
2,3,1,0.21,0.5585
5,30,14,9.33,0.4487
1,4,0,0.28,0.7349
1,9,0,0.14,0.9034
2,6,3,1.13,0.8493
3,20,19,4.89,0.5407
1,31,17,0.81,0.4489
1,4,1,0.82,0.8375
2,97,97,9.06,0.4509
2,9,0,0.13,0.5396
1,7,6,0.1,0.5357
1,26,6,0.1,0.4731
1,3,3,2.6,0.4579
2,7,4,0.67,0.415
1,8,1,1.37,0.8172
2,6,4,0.1,0.4956
2,13,10,0.27,0.3413
1,5,4,0.1,0.4118
2,5,1,0.6,0.8392
1,8,3,0.1,0.4173
1,23,4,0.49,0.759
1,10,3,4.68,0.7303
1,13,13,0.35,0.286
1,26,25,1.6,0.5014
2,5,1,0.4,0.333
3,6,4,2.81,0.4732
2,6,3,0.1,0.3583
3,5,1,0.91,0.4814
1,12,3,0.14,0.6657
1,9,6,0.6,0.5101
1,3,3,0.2,0.4428
1,7,1,0.1,0.7833
3,20,20,0.43,0.2449
1,3,0,0.1,0.9
1,3,3,0.39,0.458
1,6,3,0.1,0.3134
1,6,0,0.16,0.5667
1,3,3,0.19,0.0805
1,16,2,1.36,0.7826
5,36,29,8.76,0.67
2,3,2,4.68,0.6895
1,14,0,0.1,0.8885
2,22,1,0.41,0.9801
1,3,3,0.96,0.5549
1,3,3,0.3,0.4886
3,5,3,5.74,0.6957
1,19,1,0.1,0.9504
1,3,2,2.03,0.4371
1,9,3,0.95,0.6052
1,32,0,0.24,0.7969
6,7,6,4.08,0.275
2,6,1,0.1,0.4195
1,7,4,0.76,0.6071
2,8,0,0.15,0.4998
1,8,8,1.83,0.5309
1,10,6,0.34,0.4979
1,8,7,2.16,0.2275
1,4,3,0.1,0.4924
2,9,9,2.86,0.4568
2,54,54,0.54,0.5911
1,3,3,0.1,0.4674
1,13,12,0.38,0.3245
1,15,1,0.18,0.9036
2,8,8,0.1,0.3
1,16,12,4.1,0.4213
2,5,1,0.1,0.479
2,13,2,0.1,0.6848
2,13,2,2.29,0.8308
1,3,2,0.1,0.4762
2,7,1,0.1,0.8766
1,4,0,0.1,0.5
1,3,2,0.32,0.2753
2,27,22,3.99,0.6061
2,31,3,2.51,0.9282
1,7,0,0.1,0.5
2,4,0,0.1,0.7791
1,4,3,0.1,0.1428
1,17,4,1.07,0.8911
2,16,8,0.38,0.5246
1,6,3,0.57,0.5393
1,5,2,0.25,0.1748
4,92,86,3.79,0.5593
1,12,3,0.38,0.7386
1,9,9,0.23,0.4111
1,15,0,0.11,0.8823
3,3,3,1.83,0.3946
3,10,8,3.01,0.4857
1,6,1,0.1,0.7564
1,7,5,0.74,0.5116
1,35,0,0.1,0.8782
1,8,6,0.24,0.5082
1,3,2,0.1,0.522
1,46,23,3.96,0.3947
1,4,0,0.32,0.9403
1,10,0,0.1,0.7583
2,5,0,0.74,0.8134
1,7,0,0.1,0.7582
1,3,2,1.81,0.5833
1,10,10,1.52,0.5745
2,13,5,0.46,0.8173
1,7,5,2.73,0.4157
1,11,2,0.33,0.4662
2,5,2,0.15,0.4515
2,3,3,0.1,0.2647
2,3,3,0.75,0.3922
1,16,0,0.1,0.826
1,5,2,1.29,0.7826
1,21,6,0.35,0.782
1,4,3,1.02,0.1841
1,14,12,0.28,0.5173
1,19,10,0.1,0.5763
1,5,4,0.1,0.4972
1,7,0,0.43,0.8865
1,7,0,3.88,0.6776
2,6,2,0.1,0.7479
1,3,3,6.82,0.5072
1,3,3,0.93,0.5
1,11,11,0.1,0.357
2,5,0,0.23,0.6603
1,3,2,0.25,0.0983
1,3,1,0.1,0.6137
6,13,11,9.18,0.493
1,6,0,0.1,0.8432
3,3,1,0.77,0.7862
2,8,1,0.75,0.7974
1,11,2,0.67,0.8545
1,5,5,0.1,0.18
1,18,18,1.5,0.5
1,11,6,2.06,0.6206
3,9,0,2.33,0.6401
3,10,2,0.1,0.8024
1,5,0,0.11,0.8817
1,33,0,0.65,0.8082
1,3,0,0.24,0.7356
2,5,5,6.57,0.5672
2,4,2,6.64,0.4209
1,4,3,0.1,0.7136
1,4,1,0.1,0.5653
1,9,9,0.44,0.3649
1,19,0,0.49,0.9043
1,8,4,0.32,0.2737
1,12,5,2.19,0.5679
1,11,11,0.1,0.0863
3,6,3,3.92,0.478
1,9,8,3.38,0.5165
1,6,6,6.79,0.5753
2,9,4,4.61,0.5021
3,5,1,0.1,0.9159
2,6,2,0.1,0.7314
3,19,5,3.7,0.6835
1,9,1,0.1,0.6789
